# Light curves of Betelgeuse in 0.45-13.5 micron measured with images taken by 
# the Himawari-8 meteorological satellite (after binning). 
# Last updated on 2023-07-20T13:30:02
# 
# Original paper: 
#   Daisuke Taniguchi, Kazuya Yamazaki, and Shinsuke Uno
#   "The Great Dimming of Betelgeuse seen by the Himawari-8 meteorological satellite"
#   Nature Astronomy, 6, 930 (2022)
#   DOI: 10.1038/s41550-022-01680-5
# 
# Column descriptions: 
#   1st column: Mean of observation dates in each bin in UTC (accuracy of 10 min). 
#   2nd column: First observation date in each bin in UTC (accuracy of 10 min). 
#   3rd column: Last observation date in each bin in UTC (accuracy of 10 min). 
#   The others: Spectral irradiance of each band and its standard error [nW/m^2/micron]. 
# 
#Mean date (UTC),First date (UTC),Last date (UTC) ,Band 01    ,01_err    ,Band 02    ,02_err    ,Band 03    ,03_err    ,Band 04    ,04_err    ,Band 05    ,05_err    ,Band 06    ,06_err    ,Band 07    ,07_err    ,Band 08    ,08_err    ,Band 09    ,09_err    ,Band 10    ,10_err    ,Band 11    ,11_err    ,Band 12    ,12_err    ,Band 13    ,13_err    ,Band 14    ,14_err    ,Band 15    ,15_err    ,Band 16    ,16_err    
2017-05-14 14:32,2017-05-11 16:50,2017-05-17 17:10, 1.6508E+01,1.4391E+00, 2.1821E+01,1.9809E+00, 4.2431E+01,2.6007E+00, 8.3019E+01,7.2542E+00, 5.6128E+01,3.3205E+00, 2.2645E+01,6.0955E-01, 3.4349E+00,4.0803E-02, 5.7265E-01,5.7010E-02, 2.9674E-01,4.3053E-02, 2.9261E-01,1.8513E-02, 2.4338E-01,8.9465E-02, 2.7841E-01,5.8538E-02, 1.5225E-01,3.9963E-02, 1.2920E-01,3.3048E-02, 1.1236E-01,4.3302E-02,-6.0729E-02,1.2680E-01
2017-05-21 13:42,2017-05-18 17:10,2017-05-24 16:00, 1.7105E+01,9.7440E-01, 2.4010E+01,1.0846E+00, 4.3015E+01,1.6583E+00, 9.0588E+01,6.1351E+00, 5.4106E+01,3.4502E+00, 2.2400E+01,3.2307E-01, 3.3921E+00,1.1159E-01, 5.5216E-01,4.1396E-02, 3.2953E-01,4.4056E-02, 2.4987E-01,2.2610E-02, 1.0430E-01,3.9316E-02, 2.4993E-01,2.3356E-02, 2.5700E-01,8.0499E-02, 9.6898E-02,5.6050E-02, 8.8598E-03,6.1858E-02,-4.2481E-02,9.7214E-02
2017-05-28 22:31,2017-05-25 16:00,2017-06-01 15:30, 1.6887E+01,1.5137E+00, 2.3456E+01,1.9766E+00, 4.7075E+01,1.6404E+00, 9.0308E+01,2.5808E+00, 5.6542E+01,2.9112E+00, 2.3250E+01,1.0997E+00, 3.2800E+00,1.4500E-01, 4.8147E-01,3.0572E-02, 3.7964E-01,5.6595E-02, 2.5472E-01,6.6642E-02, 2.0281E-01,6.6892E-02, 2.3406E-01,5.3746E-02, 6.0811E-02,5.9208E-02, 1.1519E-01,3.1734E-02, 9.1773E-02,6.8107E-02,-1.2313E-01,8.6681E-02
2017-06-06 18:38,2017-06-02 16:10,2017-06-11 14:50, 1.4523E+01,1.4163E+00, 2.4793E+01,1.1044E+00, 4.6734E+01,2.3962E+00, 8.8094E+01,6.7856E+00, 6.0166E+01,2.9297E+00, 2.3845E+01,1.2290E+00, 3.4172E+00,6.6819E-02, 5.6292E-01,7.5839E-02, 3.9000E-01,2.3719E-02, 2.5606E-01,5.0886E-02, 1.8891E-01,7.7218E-02, 1.9046E-01,5.3112E-02, 2.1561E-01,5.9915E-02, 1.7242E-01,2.8713E-02, 7.1332E-02,4.9415E-02, 5.1674E-02,1.5956E-01
2017-06-16 03:38,2017-06-12 15:30,2017-06-19 15:00, 1.5245E+01,1.2058E+00, 2.2697E+01,2.7487E+00, 4.5203E+01,1.0223E+00, 9.3548E+01,4.2266E+00, 5.6245E+01,2.6459E+00, 2.3599E+01,1.0425E+00, 3.2456E+00,1.1670E-01, 4.8379E-01,4.7725E-02, 3.6281E-01,4.7462E-02, 3.3705E-01,3.8633E-02, 2.4467E-01,6.8098E-02, 1.9252E-01,1.8643E-02, 1.9830E-01,7.3889E-02, 8.4571E-02,3.3541E-02, 2.9303E-02,2.2585E-02, 2.0159E-02,6.9534E-02
2017-06-23 02:50,2017-06-20 15:00,2017-06-26 13:50, 1.5362E+01,1.2719E+00, 2.3137E+01,9.8636E-01, 4.4422E+01,1.6766E+00, 9.2899E+01,4.0253E+00, 5.8026E+01,3.5389E+00, 2.3364E+01,3.4683E-01, 3.3752E+00,1.1151E-01, 5.3023E-01,4.4553E-02, 3.0648E-01,7.3678E-02, 2.7590E-01,4.4179E-02, 1.2328E-01,5.6181E-02, 2.5804E-01,8.4535E-02, 1.5813E-01,7.3032E-02, 9.3461E-02,5.1337E-02, 9.7034E-02,4.9813E-02, 5.4208E-02,1.3160E-01
2017-07-01 09:02,2017-06-27 13:50,2017-07-05 14:00, 1.3028E+01,1.7756E+00, 2.1232E+01,9.2788E-01, 4.1818E+01,1.6387E+00, 9.5501E+01,5.5500E+00, 5.5620E+01,3.1540E+00, 2.4666E+01,8.4585E-01, 3.2284E+00,7.1219E-02, 5.4882E-01,4.4944E-02, 3.5573E-01,6.2068E-02, 3.1577E-01,2.9720E-02, 1.5913E-01,9.4286E-02, 2.6091E-01,7.4185E-02, 1.7274E-01,3.7862E-02, 1.1510E-01,3.6079E-02, 5.9322E-02,6.5416E-02, 1.8449E-01,6.6250E-02
2017-07-09 10:17,2017-07-06 13:10,2017-07-12 12:50, 1.2377E+01,2.0686E+00, 2.0017E+01,1.2490E+00, 3.8167E+01,1.7453E+00, 8.3519E+01,3.7048E+00, 5.6609E+01,3.7256E+00, 2.5236E+01,8.4083E-01, 3.2891E+00,9.8566E-02, 5.7332E-01,9.9164E-03, 3.4552E-01,4.0877E-02, 3.0457E-01,3.0675E-02, 1.6281E-01,3.5021E-02, 1.8878E-01,5.1108E-02, 4.6181E-02,5.8821E-02, 1.5841E-01,3.5532E-02, 8.6327E-02,4.8152E-02, 1.0252E-01,1.4925E-01
2017-07-21 13:00,2017-07-12 13:30,2017-07-30 11:40, 1.2721E+01,1.0966E+00, 2.0167E+01,9.2199E-01, 3.6313E+01,1.0044E+00, 8.0705E+01,2.7853E+00, 5.7994E+01,1.3392E+00, 2.3692E+01,6.7825E-01, 3.3520E+00,9.1715E-02, 5.1826E-01,2.0367E-02, 3.6418E-01,4.6535E-02, 2.9447E-01,6.0611E-02, 1.9052E-01,6.5970E-02, 2.0185E-01,5.8918E-02, 1.9604E-01,4.3395E-02, 1.4744E-01,3.5240E-02, 7.6375E-02,5.0282E-02, 7.2379E-02,7.6727E-02
2017-08-05 12:10,2017-07-30 12:20,2017-08-09 11:40, 1.2667E+01,1.1657E+00, 1.7043E+01,8.3917E-01, 3.5785E+01,2.8137E+00, 8.5733E+01,7.7194E+00, 5.6998E+01,4.1096E+00, 2.4900E+01,8.0181E-01, 3.4505E+00,1.0154E-01, 5.8207E-01,4.7211E-02, 4.6705E-01,9.7764E-02, 2.7481E-01,5.1504E-02, 1.0024E-01,7.5082E-02, 2.6596E-01,4.5164E-02, 1.4889E-01,7.0513E-02, 9.6660E-02,2.0559E-02, 7.9724E-02,1.9743E-02, 9.5536E-02,1.1715E-01
2017-08-20 06:22,2017-08-12 10:50,2017-08-27 10:30, 1.1537E+01,9.0055E-01, 1.6903E+01,1.2951E+00, 3.5496E+01,1.5157E+00, 7.8391E+01,7.8984E+00, 5.8272E+01,2.5817E+00, 2.4705E+01,3.1859E-01, 3.4093E+00,1.1467E-01, 5.4043E-01,3.2177E-02, 3.9462E-01,5.5046E-02, 2.6997E-01,2.0364E-02, 2.0684E-01,7.0660E-02, 1.9795E-01,3.4782E-02, 1.2997E-01,6.5495E-02, 8.5475E-02,5.3029E-02, 7.2936E-02,3.1608E-02,-4.0407E-02,1.4975E-01
2017-09-06 01:55,2017-09-01 09:30,2017-09-11 08:50, 1.0726E+01,8.3680E-01, 1.7295E+01,2.3597E+00, 3.4156E+01,1.3430E+00, 8.2901E+01,5.2695E+00, 5.5878E+01,4.2573E+00, 2.3774E+01,4.7942E-01, 3.3537E+00,1.4084E-01, 5.5327E-01,5.3070E-02, 3.5729E-01,1.8298E-02, 3.3669E-01,5.4701E-02, 1.3162E-01,2.4664E-02, 1.9001E-01,5.4963E-02, 2.2645E-01,3.4873E-02, 1.4546E-01,2.6479E-02, 1.0799E-01,3.2812E-02, 7.0274E-02,8.5043E-02
2017-09-17 19:28,2017-09-11 09:30,2017-09-24 08:00, 1.0244E+01,8.2172E-01, 1.6973E+01,8.9307E-01, 3.1778E+01,1.9676E+00, 7.5985E+01,7.5474E+00, 5.6881E+01,1.0809E+00, 2.4149E+01,8.1387E-01, 3.4651E+00,1.7851E-01, 5.5051E-01,4.5884E-02, 3.5391E-01,4.8616E-02, 3.2054E-01,6.2015E-02, 7.7805E-02,8.4154E-02, 2.0677E-01,1.2096E-02, 1.5831E-01,3.1515E-02, 1.3005E-01,4.4987E-02, 2.3008E-02,3.3838E-02,-1.5985E-01,9.7949E-02
2017-09-29 15:21,2017-09-24 08:40,2017-10-04 08:00, 9.6331E+00,1.5483E+00, 1.4725E+01,5.4532E-01, 3.1003E+01,1.8893E+00, 7.7262E+01,3.3122E+00, 5.2239E+01,1.1580E+00, 2.4162E+01,7.7362E-01, 3.3385E+00,7.1675E-02, 5.3711E-01,1.2491E-02, 3.4281E-01,2.2045E-02, 3.3280E-01,7.0494E-02, 1.0851E-01,1.5465E-02, 2.2949E-01,3.5756E-02, 1.7122E-01,5.5791E-02, 1.1978E-01,4.1764E-02, 8.5628E-02,4.8482E-02, 8.2795E-02,1.6492E-01
2017-10-13 15:33,2017-10-09 07:00,2017-10-19 07:00, 1.0544E+01,1.1600E+00, 1.5691E+01,1.0335E+00, 2.8372E+01,1.7961E+00, 7.3559E+01,1.9001E+00, 5.5880E+01,2.5494E+00, 2.4187E+01,1.2021E+00, 3.5109E+00,7.1824E-02, 5.1665E-01,3.7008E-02, 3.8258E-01,8.9069E-02, 2.6903E-01,5.0214E-02, 1.9983E-01,5.3221E-02, 1.7184E-01,2.5703E-02, 1.4096E-01,3.1892E-02, 5.4301E-02,5.4587E-02, 3.7921E-02,3.3854E-02, 4.5432E-02,1.3441E-01
2017-10-27 00:45,2017-10-22 06:10,2017-11-01 06:10, 1.0049E+01,1.2986E+00, 1.5459E+01,4.6729E-01, 2.8873E+01,7.7979E-01, 6.1627E+01,2.6312E+00, 5.2561E+01,3.8364E+00, 2.2760E+01,7.7177E-01, 3.1043E+00,1.1861E-01, 5.4783E-01,4.5977E-02, 3.9029E-01,7.5130E-02, 2.8786E-01,3.1526E-02, 7.6935E-02,6.4061E-02, 1.5274E-01,2.2635E-02, 1.5931E-01,3.3494E-02, 1.5357E-01,3.4150E-02, 6.6435E-02,4.3748E-02,-4.2387E-02,1.0341E-01
2017-11-11 17:33,2017-11-06 05:10,2017-11-19 04:20, 8.3702E+00,5.7876E-01, 1.5734E+01,8.8821E-01, 2.7696E+01,8.0900E-01, 7.2640E+01,4.5020E+00, 5.2142E+01,2.7361E+00, 2.5426E+01,4.9564E-01, 3.0636E+00,8.3800E-02, 5.6206E-01,7.0085E-02, 3.4396E-01,1.6276E-02, 3.0134E-01,4.2358E-02, 2.1257E-01,1.0407E-01, 1.5088E-01,6.6811E-02, 1.2586E-01,7.1740E-02, 1.2375E-01,4.2073E-02, 1.0174E-02,6.5581E-02,-1.1703E-01,1.3477E-01
2017-11-26 17:52,2017-11-21 04:10,2017-12-04 03:20, 1.0434E+01,1.0981E+00, 1.4904E+01,6.4484E-01, 3.1261E+01,7.0914E-01, 6.9780E+01,5.7198E+00, 5.4623E+01,2.2470E+00, 2.4155E+01,4.0766E-01, 3.2395E+00,1.0215E-01, 4.7008E-01,2.6741E-02, 3.6487E-01,2.5834E-02, 2.8048E-01,3.5365E-02, 2.0413E-01,5.2830E-02, 1.9689E-01,3.7216E-02, 9.4530E-02,6.8654E-02, 1.6991E-01,3.3394E-02, 1.0785E-01,5.3692E-02, 2.6870E-02,1.3215E-01
2017-12-14 01:27,2017-12-06 03:10,2017-12-21 02:10, 1.0164E+01,6.8342E-01, 1.5731E+01,7.7820E-01, 3.2871E+01,8.5428E-01, 7.5157E+01,4.3084E+00, 5.3350E+01,2.0496E+00, 2.3293E+01,8.9409E-01, 3.2123E+00,5.1709E-02, 5.6989E-01,3.6905E-02, 3.3971E-01,3.8492E-02, 2.3103E-01,1.4393E-02, 1.8424E-01,5.6252E-02, 2.3430E-01,3.6520E-02, 1.4544E-01,4.2346E-02, 9.2916E-02,5.6253E-02, 5.1547E-02,6.4152E-02,-9.1620E-04,1.6218E-01
2017-12-25 06:40,2017-12-22 02:10,2017-12-29 01:40, 1.3494E+01,4.2316E-01, 1.6552E+01,7.4218E-01, 3.7665E+01,1.0553E+00, 8.3138E+01,6.3404E+00, 5.2563E+01,1.6694E+00, 2.4118E+01,7.7381E-01, 3.1243E+00,1.6832E-01, 5.9002E-01,1.9958E-02, 3.5481E-01,7.5427E-02, 2.8387E-01,3.2840E-02, 2.0813E-01,5.7340E-02, 2.3269E-01,4.4884E-02, 2.2792E-01,2.9084E-02, 1.2037E-01,3.8524E-02, 2.5168E-02,5.1339E-02, 1.0843E-01,9.8322E-02
2018-01-05 00:00,2017-12-30 02:20,2018-01-11 01:30, 1.1932E+01,1.1483E+00, 1.7659E+01,1.4607E+00, 3.6931E+01,2.6056E+00, 7.8410E+01,3.7595E+00, 5.3554E+01,1.5715E+00, 2.3331E+01,1.1356E+00, 3.1890E+00,9.8286E-02, 4.8319E-01,3.3655E-02, 3.4092E-01,7.5813E-02, 2.8698E-01,4.1593E-02, 2.0701E-01,1.6633E-02, 2.1163E-01,4.4761E-02, 1.1176E-01,3.2605E-02, 7.8953E-02,4.5927E-02, 7.9661E-02,3.5424E-02,-3.5238E-02,5.0663E-02
2018-01-18 01:07,2018-01-13 00:40,2018-01-24 00:40, 1.3796E+01,7.4648E-01, 1.8281E+01,9.1615E-01, 3.6233E+01,1.3643E+00, 7.6712E+01,6.2866E+00, 5.4161E+01,1.3711E+00, 2.3034E+01,5.9358E-01, 3.2025E+00,9.1039E-02, 5.1850E-01,3.4413E-02, 4.3229E-01,8.7509E-02, 3.0270E-01,5.5861E-02, 1.3666E-01,6.1568E-02, 2.6937E-01,2.6642E-02, 1.2200E-01,2.7444E-02, 1.1778E-01,3.4683E-02, 5.9001E-02,3.5602E-02, 5.5958E-02,1.2000E-01
2018-02-02 16:11,2018-01-28 23:40,2018-02-07 23:40, 1.2046E+01,5.2314E-01, 1.9251E+01,1.0387E+00, 3.3549E+01,2.5590E+00, 7.5820E+01,3.7933E+00, 5.1432E+01,1.9727E+00, 2.2434E+01,1.8068E+00, 3.2481E+00,8.5324E-02, 5.2412E-01,4.3853E-02, 3.7489E-01,6.4811E-02, 2.6314E-01,5.2608E-02, 2.0825E-01,8.8236E-02, 2.0749E-01,7.5277E-02, 1.4019E-01,7.4907E-02, 1.1241E-01,6.5782E-02, 5.4907E-02,3.6734E-02, 4.6307E-02,1.4018E-01
2018-02-18 12:31,2018-02-10 22:50,2018-02-25 21:50, 1.0548E+01,1.9088E+00, 1.7515E+01,1.2945E+00, 3.4036E+01,1.2830E+00, 7.1054E+01,8.3253E+00, 5.3840E+01,2.0527E+00, 2.3155E+01,7.4679E-01, 3.1588E+00,1.6205E-01, 5.5487E-01,1.7519E-02, 3.6707E-01,4.5972E-02, 3.4029E-01,3.4469E-02, 1.6716E-01,3.0279E-02, 1.8368E-01,7.0490E-02, 1.3807E-01,6.5429E-02, 1.6985E-01,3.3174E-02, 3.7803E-02,4.6032E-02, 3.0399E-02,6.4422E-02
2018-03-04 18:13,2018-02-25 22:30,2018-03-10 21:00, 1.1314E+01,6.6970E-01, 1.6354E+01,9.6715E-01, 3.4344E+01,1.5955E+00, 8.1075E+01,4.5529E+00, 5.6938E+01,2.3490E+00, 2.3371E+01,4.8597E-01, 3.2249E+00,3.4844E-02, 4.8339E-01,1.4661E-02, 3.2004E-01,9.4029E-02, 3.3537E-01,3.9363E-02, 1.6934E-01,5.3058E-02, 2.4704E-01,6.7710E-02, 1.1415E-01,3.8102E-02, 1.0706E-01,4.8705E-02, 5.1716E-02,4.7189E-02, 4.6922E-02,1.7418E-01
2018-03-18 14:30,2018-03-12 21:30,2018-03-25 20:00, 1.1365E+01,6.4545E-01, 1.6327E+01,1.3521E+00, 3.4995E+01,1.6274E+00, 7.6799E+01,6.6460E+00, 5.4983E+01,2.2506E+00, 2.3087E+01,6.0891E-01, 3.1358E+00,6.5803E-02, 5.0224E-01,7.5983E-02, 3.8518E-01,3.1752E-02, 3.1593E-01,4.1240E-02, 1.8763E-01,3.1999E-02, 1.9512E-01,4.0105E-02, 2.1879E-01,4.5330E-02, 1.6467E-01,3.1155E-02, 6.7474E-02,4.7641E-02,-3.7981E-02,1.2483E-01
2018-04-03 17:37,2018-03-25 20:40,2018-04-09 19:40, 1.1795E+01,1.1170E+00, 1.8602E+01,2.3903E+00, 3.7813E+01,2.8029E+00, 7.8164E+01,2.9412E+00, 5.3905E+01,1.5672E+00, 2.2609E+01,5.5120E-01, 3.1860E+00,1.1331E-01, 5.2610E-01,3.9358E-02, 3.3213E-01,5.9944E-02, 3.0145E-01,3.9223E-02, 2.2570E-01,5.6279E-02, 2.0167E-01,7.6529E-02, 1.5977E-01,5.5399E-02, 4.6516E-02,2.3318E-02, 8.6554E-02,5.4890E-02, 6.6136E-02,1.1962E-01
2018-04-17 08:36,2018-04-12 18:40,2018-04-22 18:50, 1.2077E+01,7.3271E-01, 1.9158E+01,6.6659E-01, 3.8710E+01,2.2449E+00, 7.4578E+01,4.4757E+00, 5.3237E+01,2.1935E+00, 2.4045E+01,6.8103E-01, 3.1822E+00,4.1892E-02, 5.3838E-01,4.8973E-02, 3.7520E-01,1.9621E-02, 2.4191E-01,4.1832E-02, 1.9761E-01,1.2224E-01, 2.2692E-01,2.5397E-02, 2.0136E-01,8.3980E-02, 1.0840E-01,3.3873E-02, 7.9973E-02,4.2641E-02, 1.8738E-01,7.5590E-02
2018-05-02 10:21,2018-04-27 17:50,2018-05-07 17:50, 1.2801E+01,1.1929E+00, 1.8656E+01,1.4370E+00, 4.1268E+01,9.3624E-01, 9.0390E+01,4.3767E+00, 5.6316E+01,1.1478E+00, 2.2837E+01,6.5340E-01, 3.3972E+00,8.1550E-02, 5.6317E-01,3.9286E-02, 4.1842E-01,2.5895E-02, 3.1467E-01,5.4742E-02, 1.3699E-01,3.0703E-02, 2.7458E-01,3.3610E-02, 2.0432E-01,5.0688E-02, 1.3498E-01,1.5865E-02, 6.6645E-02,4.1368E-02, 7.3862E-02,5.3662E-02
2018-05-15 22:08,2018-05-10 17:00,2018-05-20 16:20, 1.1399E+01,6.5716E-01, 1.7412E+01,1.1055E+00, 3.9546E+01,1.8987E+00, 8.0777E+01,4.2587E+00, 5.4471E+01,1.6664E+00, 2.4055E+01,4.1236E-01, 3.1489E+00,9.9963E-02, 4.9845E-01,3.6668E-02, 3.8107E-01,5.9513E-02, 3.1390E-01,4.5798E-02, 1.3010E-01,5.1569E-02, 1.9443E-01,4.9815E-02, 1.9335E-01,5.3372E-02, 1.2225E-01,4.8211E-02, 5.4260E-02,3.3524E-02, 9.8763E-02,1.1484E-01
2018-05-24 12:02,2018-05-20 17:00,2018-05-27 15:50, 1.2855E+01,1.5646E+00, 1.7989E+01,8.8871E-01, 3.5560E+01,1.7873E+00, 7.3412E+01,8.4325E+00, 5.2390E+01,1.3491E+00, 2.3194E+01,8.7140E-01, 3.2691E+00,8.4157E-02, 5.7785E-01,2.8577E-02, 3.9366E-01,3.7127E-02, 3.2859E-01,3.1371E-02, 1.2886E-01,5.9148E-02, 1.6762E-01,6.4677E-02, 1.3216E-01,2.4182E-02, 7.5892E-02,2.7477E-02, 6.4544E-02,5.6161E-02,-6.2063E-02,1.1271E-01
2018-05-31 08:35,2018-05-28 16:30,2018-06-02 16:10, 1.1889E+01,1.0992E+00, 1.8970E+01,2.1738E+00, 3.8734E+01,1.3154E+00, 8.3091E+01,5.6655E+00, 5.6182E+01,2.0641E+00, 2.4096E+01,1.0139E+00, 3.2678E+00,1.8758E-01, 5.1330E-01,4.3261E-02, 4.0479E-01,5.8122E-02, 2.9665E-01,1.7602E-02, 1.3074E-01,4.7753E-02, 1.8863E-01,3.9897E-02, 1.9086E-01,7.4990E-02, 8.7734E-02,3.9963E-02, 1.0607E-01,1.1098E-01, 1.1700E-01,1.0506E-01
